CONTROL_NUMBER,survey_question,survey_value
00171258,familiarity with programs,3
00171264,familiarity with programs,3
00171265,familiarity with programs,3
00171276,familiarity with programs,3
00171286,familiarity with programs,2
00171302,familiarity with programs,2
00171328,familiarity with programs,0
00171337,familiarity with programs,1
00171338,familiarity with programs,4
00171354,familiarity with programs,4
00171357,familiarity with programs,1
00171358,familiarity with programs,0
00171365,familiarity with programs,3
00171367,familiarity with programs,3
00171370,familiarity with programs,3
00171383,familiarity with programs,3
00171385,familiarity with programs,4
00171396,familiarity with programs,2
00171397,familiarity with programs,0
00171405,familiarity with programs,3
00171415,familiarity with programs,2
00171420,familiarity with programs,0
00171445,familiarity with programs,1
00171455,familiarity with programs,1
00171475,familiarity with programs,4
00171507,familiarity with programs,4
00171508,familiarity with programs,1
00171512,familiarity with programs,1
00171521,familiarity with programs,0
00171528,familiarity with programs,3
00171552,familiarity with programs,3
00171555,familiarity with programs,0
00171557,familiarity with programs,2
00171566,familiarity with programs,1
00171570,familiarity with programs,0
00171581,familiarity with programs,3
00171588,familiarity with programs,4
00171603,familiarity with programs,2
00171607,familiarity with programs,4
00171609,familiarity with programs,1
00171612,familiarity with programs,2
00171615,familiarity with programs,2
00171626,familiarity with programs,4
00171627,familiarity with programs,4
00171631,familiarity with programs,1
00171642,familiarity with programs,0
00171651,familiarity with programs,4
00171655,familiarity with programs,4
00171660,familiarity with programs,2
00171661,familiarity with programs,0
00171671,familiarity with programs,4
00171677,familiarity with programs,3
00171700,familiarity with programs,4
00171702,familiarity with programs,3
00171703,familiarity with programs,3
00171716,familiarity with programs,0
00171731,familiarity with programs,0
00171738,familiarity with programs,1
00171740,familiarity with programs,1
00171756,familiarity with programs,4
00171760,familiarity with programs,3
00171763,familiarity with programs,1
00171772,familiarity with programs,3
00171785,familiarity with programs,4
00171788,familiarity with programs,2
00171809,familiarity with programs,3
00171832,familiarity with programs,1
00171854,familiarity with programs,4
00171855,familiarity with programs,0
00171873,familiarity with programs,2
00171879,familiarity with programs,0
00171883,familiarity with programs,4
00171898,familiarity with programs,1
00171920,familiarity with programs,1
00171935,familiarity with programs,0
00171942,familiarity with programs,4
00171943,familiarity with programs,0
00171945,familiarity with programs,0
00171948,familiarity with programs,1
00171950,familiarity with programs,4
00171978,familiarity with programs,3
00171979,familiarity with programs,4
00171989,familiarity with programs,0
00171993,familiarity with programs,1
00171998,familiarity with programs,4
00172005,familiarity with programs,0
00172014,familiarity with programs,2
00172018,familiarity with programs,1
00172024,familiarity with programs,4
00172031,familiarity with programs,1
00172033,familiarity with programs,3
00172053,familiarity with programs,1
00172068,familiarity with programs,2
00172073,familiarity with programs,0
00172075,familiarity with programs,0
00172088,familiarity with programs,1
00172095,familiarity with programs,3
00172097,familiarity with programs,3
00172128,familiarity with programs,2
00172140,familiarity with programs,0
00172156,familiarity with programs,4
00172162,familiarity with programs,1
00172167,familiarity with programs,4
00172171,familiarity with programs,0
00172175,familiarity with programs,0
00172176,familiarity with programs,2
00172182,familiarity with programs,2
00172192,familiarity with programs,4
00172202,familiarity with programs,4
00172213,familiarity with programs,4
00172214,familiarity with programs,3
00172220,familiarity with programs,0
00172232,familiarity with programs,0
00172235,familiarity with programs,4
00172258,familiarity with programs,0
00172273,familiarity with programs,3
00172278,familiarity with programs,0
00172288,familiarity with programs,4
00172292,familiarity with programs,3
00172301,familiarity with programs,3
00172314,familiarity with programs,1
00172315,familiarity with programs,3
00172324,familiarity with programs,2
00172329,familiarity with programs,0
00172332,familiarity with programs,4
00172343,familiarity with programs,4
00172348,familiarity with programs,4
00172359,familiarity with programs,0
00172362,familiarity with programs,1
00172369,familiarity with programs,4
00172375,familiarity with programs,0
00172390,familiarity with programs,0
00172406,familiarity with programs,4
00172420,familiarity with programs,1
00172432,familiarity with programs,0
00172452,familiarity with programs,0
00172457,familiarity with programs,0
00172464,familiarity with programs,3
00172467,familiarity with programs,0
00172475,familiarity with programs,0
00172492,familiarity with programs,2
00172498,familiarity with programs,2
00172500,familiarity with programs,1
00172503,familiarity with programs,0
00172508,familiarity with programs,1
00172512,familiarity with programs,2
00172523,familiarity with programs,0
00172526,familiarity with programs,0
00172527,familiarity with programs,2
00172530,familiarity with programs,4
00172533,familiarity with programs,2
00172552,familiarity with programs,4
00172562,familiarity with programs,2
00172567,familiarity with programs,2
00172571,familiarity with programs,0
00172573,familiarity with programs,2
00172588,familiarity with programs,0
00172597,familiarity with programs,3
00172605,familiarity with programs,3
00172607,familiarity with programs,1
00172617,familiarity with programs,1
00172618,familiarity with programs,4
00172635,familiarity with programs,3
00172638,familiarity with programs,4
00172691,familiarity with programs,1
00172698,familiarity with programs,0
00172702,familiarity with programs,2
00172704,familiarity with programs,0
00172710,familiarity with programs,1
00172730,familiarity with programs,4
00172750,familiarity with programs,4
00172773,familiarity with programs,2
00172784,familiarity with programs,1
00172801,familiarity with programs,4
00172802,familiarity with programs,3
00172812,familiarity with programs,3
00172814,familiarity with programs,4
00172829,familiarity with programs,1
00172839,familiarity with programs,1
00172846,familiarity with programs,0
00172848,familiarity with programs,0
00172851,familiarity with programs,1
00172854,familiarity with programs,2
00172863,familiarity with programs,2
00172866,familiarity with programs,4
00172877,familiarity with programs,1
00172882,familiarity with programs,3
00172883,familiarity with programs,2
00172887,familiarity with programs,0
00172888,familiarity with programs,0
00172892,familiarity with programs,2
00172901,familiarity with programs,0
00172908,familiarity with programs,2
00172917,familiarity with programs,2
00172922,familiarity with programs,0
00172924,familiarity with programs,0
00172929,familiarity with programs,2
00172931,familiarity with programs,1
00172937,familiarity with programs,2
00172938,familiarity with programs,1
00172956,familiarity with programs,2
00172962,familiarity with programs,1
00172963,familiarity with programs,4
00172965,familiarity with programs,3
00172990,familiarity with programs,4
00172994,familiarity with programs,1
00173039,familiarity with programs,4
00173056,familiarity with programs,0
00173076,familiarity with programs,4
00173080,familiarity with programs,1
00173094,familiarity with programs,2
00173100,familiarity with programs,1
00173107,familiarity with programs,2
00173108,familiarity with programs,2
00173132,familiarity with programs,4
00173142,familiarity with programs,0
00173165,familiarity with programs,2
00173171,familiarity with programs,0
00173180,familiarity with programs,3
00173184,familiarity with programs,1
00173188,familiarity with programs,0
00173189,familiarity with programs,2
00173191,familiarity with programs,4
00173192,familiarity with programs,1
00173193,familiarity with programs,0
00173200,familiarity with programs,0
00173206,familiarity with programs,2
00173223,familiarity with programs,3
00173232,familiarity with programs,3
00173262,familiarity with programs,2
00173268,familiarity with programs,2
00173272,familiarity with programs,4
00173300,familiarity with programs,1
00173326,familiarity with programs,2
00173336,familiarity with programs,1
00173338,familiarity with programs,0
00173348,familiarity with programs,4
00173354,familiarity with programs,1
00173373,familiarity with programs,4
00173378,familiarity with programs,0
00173379,familiarity with programs,0
00173391,familiarity with programs,0
00173417,familiarity with programs,1
00173422,familiarity with programs,3
00173434,familiarity with programs,3
00173443,familiarity with programs,4
00173445,familiarity with programs,3
00173460,familiarity with programs,0
00173462,familiarity with programs,2
00173465,familiarity with programs,2
00173492,familiarity with programs,2
00173493,familiarity with programs,3
00173495,familiarity with programs,1
00173497,familiarity with programs,4
00173508,familiarity with programs,4
00173512,familiarity with programs,0
00173523,familiarity with programs,0
00173531,familiarity with programs,4
00173550,familiarity with programs,0
00173559,familiarity with programs,3
00173563,familiarity with programs,2
00173571,familiarity with programs,2
00173604,familiarity with programs,1
00173616,familiarity with programs,1
00173618,familiarity with programs,2
00173653,familiarity with programs,2
00173665,familiarity with programs,3
00173675,familiarity with programs,3
00173682,familiarity with programs,3
00173688,familiarity with programs,3
00173702,familiarity with programs,3
00173726,familiarity with programs,2
00173737,familiarity with programs,2
00173744,familiarity with programs,3
00173772,familiarity with programs,2
00173774,familiarity with programs,1
00173777,familiarity with programs,2
00173805,familiarity with programs,4
00173811,familiarity with programs,4
00173831,familiarity with programs,4
00173840,familiarity with programs,1
00173872,familiarity with programs,2
00173877,familiarity with programs,4
00173882,familiarity with programs,0
00173892,familiarity with programs,4
00173897,familiarity with programs,0
00173908,familiarity with programs,3
00173933,familiarity with programs,4
00173945,familiarity with programs,3
00173948,familiarity with programs,0
00173953,familiarity with programs,0
00173968,familiarity with programs,0
00173985,familiarity with programs,3
00173994,familiarity with programs,1
00173997,familiarity with programs,3
00174014,familiarity with programs,1
00174026,familiarity with programs,0
00174027,familiarity with programs,2
00174039,familiarity with programs,4
00174053,familiarity with programs,2
00174059,familiarity with programs,2
00174064,familiarity with programs,0
00174094,familiarity with programs,0
00174096,familiarity with programs,2
00174124,familiarity with programs,1
00174146,familiarity with programs,3
00174152,familiarity with programs,1
00174161,familiarity with programs,0
00174165,familiarity with programs,3
00174176,familiarity with programs,0
00174182,familiarity with programs,2
00174186,familiarity with programs,1
00174206,familiarity with programs,0
00174209,familiarity with programs,1
00174211,familiarity with programs,3
00174238,familiarity with programs,0
00174246,familiarity with programs,2
00174249,familiarity with programs,0
00174256,familiarity with programs,1
00174264,familiarity with programs,0
00174267,familiarity with programs,3
00174271,familiarity with programs,1
00174281,familiarity with programs,2
00174286,familiarity with programs,1
00174293,familiarity with programs,3
00174315,familiarity with programs,4
00174317,familiarity with programs,1
00174318,familiarity with programs,3
00174356,familiarity with programs,4
00174358,familiarity with programs,3
00174360,familiarity with programs,4
00174373,familiarity with programs,4
00174375,familiarity with programs,0
00174380,familiarity with programs,0
00174392,familiarity with programs,3
00174406,familiarity with programs,2
00174422,familiarity with programs,3
00174426,familiarity with programs,3
00174428,familiarity with programs,3
00174435,familiarity with programs,1
00174436,familiarity with programs,1
00174452,familiarity with programs,0
00174453,familiarity with programs,4
00174470,familiarity with programs,0
00174481,familiarity with programs,4
00174491,familiarity with programs,0
00174494,familiarity with programs,0
00174502,familiarity with programs,3
00174507,familiarity with programs,1
00174515,familiarity with programs,0
00174517,familiarity with programs,1
00174520,familiarity with programs,4
00174551,familiarity with programs,1
00174560,familiarity with programs,2
00174568,familiarity with programs,0
00174576,familiarity with programs,2
00174578,familiarity with programs,1
00174602,familiarity with programs,4
00174609,familiarity with programs,1
00174629,familiarity with programs,0
00174659,familiarity with programs,1
00174671,familiarity with programs,2
00174677,familiarity with programs,3
00174693,familiarity with programs,0
00174713,familiarity with programs,0
00174735,familiarity with programs,2
00174737,familiarity with programs,4
00174758,familiarity with programs,4
00174760,familiarity with programs,2
00174788,familiarity with programs,4
00174803,familiarity with programs,1
00174806,familiarity with programs,4
00174819,familiarity with programs,3
00174821,familiarity with programs,4
00174833,familiarity with programs,4
00174885,familiarity with programs,4
00174895,familiarity with programs,2
00174907,familiarity with programs,1
00174908,familiarity with programs,2
00174915,familiarity with programs,4
00174932,familiarity with programs,1
00174934,familiarity with programs,2
00174936,familiarity with programs,2
00174938,familiarity with programs,0
00174939,familiarity with programs,0
00174940,familiarity with programs,2
00174947,familiarity with programs,3
00174948,familiarity with programs,3
00174956,familiarity with programs,3
00174974,familiarity with programs,4
00174976,familiarity with programs,0
00174984,familiarity with programs,0
00174991,familiarity with programs,2
00175000,familiarity with programs,3
00175016,familiarity with programs,0
00175033,familiarity with programs,1
00175048,familiarity with programs,1
00175057,familiarity with programs,4
00175068,familiarity with programs,4
00175074,familiarity with programs,4
00175092,familiarity with programs,0
00175112,familiarity with programs,0
00175113,familiarity with programs,0
00175115,familiarity with programs,0
00175130,familiarity with programs,4
00175132,familiarity with programs,2
00175139,familiarity with programs,4
00175155,familiarity with programs,2
00175194,familiarity with programs,0
00175198,familiarity with programs,0
00175205,familiarity with programs,3
00175213,familiarity with programs,3
00175216,familiarity with programs,4
00175219,familiarity with programs,1
00175226,familiarity with programs,1
00175228,familiarity with programs,3
00175242,familiarity with programs,1
00175248,familiarity with programs,0
00175249,familiarity with programs,0
00175251,familiarity with programs,4
00175253,familiarity with programs,2
00175262,familiarity with programs,2
00175283,familiarity with programs,1
00175298,familiarity with programs,0
00175316,familiarity with programs,1
00175321,familiarity with programs,0
00175333,familiarity with programs,2
00175340,familiarity with programs,2
00175354,familiarity with programs,3
00175356,familiarity with programs,2
00175374,familiarity with programs,2
00175378,familiarity with programs,0
00175384,familiarity with programs,2
00175386,familiarity with programs,4
00175396,familiarity with programs,0
00175412,familiarity with programs,4
00175419,familiarity with programs,2
00175438,familiarity with programs,1
00175462,familiarity with programs,1
00175471,familiarity with programs,0
00175504,familiarity with programs,4
00175520,familiarity with programs,2
00175533,familiarity with programs,4
00175535,familiarity with programs,2
00175540,familiarity with programs,4
00175575,familiarity with programs,4
00175579,familiarity with programs,1
00175582,familiarity with programs,3
00175584,familiarity with programs,4
00175589,familiarity with programs,0
00175592,familiarity with programs,1
00175602,familiarity with programs,1
00175609,familiarity with programs,4
00175617,familiarity with programs,4
00175624,familiarity with programs,3
00175631,familiarity with programs,0
00175633,familiarity with programs,2
00175637,familiarity with programs,2
00175659,familiarity with programs,3
00175663,familiarity with programs,0
00175700,familiarity with programs,0
00175708,familiarity with programs,1
00175712,familiarity with programs,0
00175719,familiarity with programs,2
00175730,familiarity with programs,3
00175731,familiarity with programs,3
00175748,familiarity with programs,4
00175759,familiarity with programs,3
00175764,familiarity with programs,4
00175782,familiarity with programs,1
00175790,familiarity with programs,0
00175803,familiarity with programs,1
00175809,familiarity with programs,4
00175811,familiarity with programs,4
00175833,familiarity with programs,3
00175847,familiarity with programs,1
00175863,familiarity with programs,2
00175882,familiarity with programs,0
00175890,familiarity with programs,3
00175902,familiarity with programs,0
00175906,familiarity with programs,1
00175907,familiarity with programs,4
00175908,familiarity with programs,2
00175917,familiarity with programs,2
00175927,familiarity with programs,2
00175935,familiarity with programs,1
00175951,familiarity with programs,3
00175974,familiarity with programs,4
00175993,familiarity with programs,1
00175996,familiarity with programs,4
00176032,familiarity with programs,3
00176038,familiarity with programs,1
00176047,familiarity with programs,2
00176053,familiarity with programs,1
00176070,familiarity with programs,1
00176088,familiarity with programs,3
00176091,familiarity with programs,4
00176092,familiarity with programs,0
00176102,familiarity with programs,3
00176107,familiarity with programs,3
00176120,familiarity with programs,2
00176122,familiarity with programs,3
00176124,familiarity with programs,2
00176135,familiarity with programs,0
00176138,familiarity with programs,2
00176140,familiarity with programs,2
00176153,familiarity with programs,2
00176157,familiarity with programs,1
00176158,familiarity with programs,2
00176163,familiarity with programs,1
00176174,familiarity with programs,3
00176176,familiarity with programs,0
00176186,familiarity with programs,1
00176188,familiarity with programs,2
00176221,familiarity with programs,2
00176237,familiarity with programs,1
00176245,familiarity with programs,4
00176248,familiarity with programs,1
00176252,familiarity with programs,2
00176253,familiarity with programs,2
00176261,familiarity with programs,2
00176269,familiarity with programs,2
00176284,familiarity with programs,3
00176285,familiarity with programs,0
00176292,familiarity with programs,4
00176296,familiarity with programs,4
00176298,familiarity with programs,4
00176300,familiarity with programs,4
00176307,familiarity with programs,0
00176309,familiarity with programs,2
00176336,familiarity with programs,4
00176352,familiarity with programs,1
00176358,familiarity with programs,4
00176361,familiarity with programs,0
00176377,familiarity with programs,1
00176379,familiarity with programs,0
00176380,familiarity with programs,3
00176386,familiarity with programs,1
00176409,familiarity with programs,4
00176441,familiarity with programs,1
00176443,familiarity with programs,0
00176450,familiarity with programs,4
00176454,familiarity with programs,0
00176471,familiarity with programs,4
00176491,familiarity with programs,2
00176525,familiarity with programs,4
00176529,familiarity with programs,0
00176574,familiarity with programs,3
00176577,familiarity with programs,2
00176579,familiarity with programs,4
00176591,familiarity with programs,0
00176603,familiarity with programs,4
00176608,familiarity with programs,3
00176625,familiarity with programs,1
00176637,familiarity with programs,0
00176654,familiarity with programs,4
00176661,familiarity with programs,1
00176671,familiarity with programs,2
00176680,familiarity with programs,4
00176684,familiarity with programs,1
00176687,familiarity with programs,0
00176695,familiarity with programs,2
00176697,familiarity with programs,2
00176701,familiarity with programs,3
00176715,familiarity with programs,0
00176728,familiarity with programs,0
00176740,familiarity with programs,2
00176743,familiarity with programs,4
00176745,familiarity with programs,1
00176771,familiarity with programs,4
00176777,familiarity with programs,3
00176779,familiarity with programs,2
00176781,familiarity with programs,3
00176782,familiarity with programs,1
00176806,familiarity with programs,4
00176807,familiarity with programs,3
00176814,familiarity with programs,2
00176825,familiarity with programs,4
00176833,familiarity with programs,0
00176836,familiarity with programs,2
00176838,familiarity with programs,1
00176850,familiarity with programs,2
00176862,familiarity with programs,1
00176863,familiarity with programs,1
00176874,familiarity with programs,4
00176878,familiarity with programs,2
00176881,familiarity with programs,4
00176890,familiarity with programs,4
00176894,familiarity with programs,2
00176907,familiarity with programs,4
00176929,familiarity with programs,3
00176931,familiarity with programs,1
00176932,familiarity with programs,3
00176935,familiarity with programs,0
00176948,familiarity with programs,4
00176965,familiarity with programs,0
00176968,familiarity with programs,0
00176973,familiarity with programs,4
00177003,familiarity with programs,1
00177009,familiarity with programs,0
00177017,familiarity with programs,4
00177037,familiarity with programs,3
00177039,familiarity with programs,1
00177041,familiarity with programs,3
00177053,familiarity with programs,3
00177054,familiarity with programs,0
00177055,familiarity with programs,2
00177068,familiarity with programs,4
00177069,familiarity with programs,0
00177076,familiarity with programs,1
00177083,familiarity with programs,3
00177085,familiarity with programs,2
00177087,familiarity with programs,4
00177093,familiarity with programs,1
00177112,familiarity with programs,2
00177113,familiarity with programs,4
00177119,familiarity with programs,4
00177131,familiarity with programs,0
00177151,familiarity with programs,0
00177158,familiarity with programs,1
00177190,familiarity with programs,2
00177197,familiarity with programs,3
00177224,familiarity with programs,2
00177227,familiarity with programs,3
00177228,familiarity with programs,2
00177232,familiarity with programs,3
00177238,familiarity with programs,0
00177246,familiarity with programs,3
00177260,familiarity with programs,0
00177271,familiarity with programs,4
00177273,familiarity with programs,1
00177278,familiarity with programs,4
00177280,familiarity with programs,2
00177281,familiarity with programs,0
00177282,familiarity with programs,3
00177295,familiarity with programs,4
00177304,familiarity with programs,3
00177307,familiarity with programs,3
00177315,familiarity with programs,0
00177329,familiarity with programs,4
00177340,familiarity with programs,4
00177345,familiarity with programs,0
00177367,familiarity with programs,1
00177389,familiarity with programs,0
00177394,familiarity with programs,4
00177399,familiarity with programs,3
00177402,familiarity with programs,2
00177420,familiarity with programs,0
00177421,familiarity with programs,1
00177423,familiarity with programs,0
00177428,familiarity with programs,1
00177429,familiarity with programs,4
00177433,familiarity with programs,3
00177444,familiarity with programs,1
00177453,familiarity with programs,3
00177458,familiarity with programs,2
00177460,familiarity with programs,1
00177469,familiarity with programs,1
00177479,familiarity with programs,2
00177487,familiarity with programs,2
00177516,familiarity with programs,2
00177523,familiarity with programs,0
00177543,familiarity with programs,0
00177554,familiarity with programs,3
00177556,familiarity with programs,3
00177573,familiarity with programs,2
00177586,familiarity with programs,2
00177613,familiarity with programs,4
00177614,familiarity with programs,3
00177626,familiarity with programs,4
00177636,familiarity with programs,2
00177640,familiarity with programs,3
00177657,familiarity with programs,0
00177664,familiarity with programs,0
00177694,familiarity with programs,4
00177699,familiarity with programs,4
00177716,familiarity with programs,0
00177719,familiarity with programs,0
00177724,familiarity with programs,4
00177737,familiarity with programs,3
00177739,familiarity with programs,0
00177743,familiarity with programs,2
00177745,familiarity with programs,2
00177746,familiarity with programs,0
00177747,familiarity with programs,2
00177752,familiarity with programs,3
00177762,familiarity with programs,3
00177763,familiarity with programs,0
00177802,familiarity with programs,0
00177806,familiarity with programs,4
00177807,familiarity with programs,4
00177811,familiarity with programs,4
00177824,familiarity with programs,0
00177837,familiarity with programs,1
00177839,familiarity with programs,1
00177842,familiarity with programs,2
00177861,familiarity with programs,2
00177867,familiarity with programs,0
00177894,familiarity with programs,0
00177900,familiarity with programs,0
00177908,familiarity with programs,0
00177926,familiarity with programs,3
00177927,familiarity with programs,3
00177932,familiarity with programs,4
00177937,familiarity with programs,1
00177960,familiarity with programs,1
00177962,familiarity with programs,4
00177981,familiarity with programs,0
00177985,familiarity with programs,3
00177990,familiarity with programs,0
00177995,familiarity with programs,1
00178001,familiarity with programs,4
00178003,familiarity with programs,0
00178008,familiarity with programs,1
00178009,familiarity with programs,0
00178022,familiarity with programs,4
00178052,familiarity with programs,2
00178067,familiarity with programs,4
00178070,familiarity with programs,0
00178076,familiarity with programs,4
00178085,familiarity with programs,1
00178098,familiarity with programs,3
00178110,familiarity with programs,3
00178122,familiarity with programs,4
00178136,familiarity with programs,1
00178153,familiarity with programs,3
00178179,familiarity with programs,0
00178190,familiarity with programs,0
00178199,familiarity with programs,4
00178213,familiarity with programs,0
00178215,familiarity with programs,4
00178230,familiarity with programs,1
00178237,familiarity with programs,0
00178264,familiarity with programs,4
00178271,familiarity with programs,2
00178275,familiarity with programs,3
00178290,familiarity with programs,1
00178292,familiarity with programs,3
00178293,familiarity with programs,4
00178296,familiarity with programs,4
00178298,familiarity with programs,4
00178299,familiarity with programs,3
00178315,familiarity with programs,0
00178319,familiarity with programs,4
00178320,familiarity with programs,2
00178334,familiarity with programs,4
00178338,familiarity with programs,3
00178345,familiarity with programs,2
00178355,familiarity with programs,1
00178377,familiarity with programs,1
00178388,familiarity with programs,3
00178392,familiarity with programs,1
00178421,familiarity with programs,1
00178423,familiarity with programs,1
00178430,familiarity with programs,0
00178432,familiarity with programs,0
00178433,familiarity with programs,1
00178443,familiarity with programs,0
00178456,familiarity with programs,2
00178458,familiarity with programs,1
00178459,familiarity with programs,1
00178463,familiarity with programs,2
00178464,familiarity with programs,1
00178498,familiarity with programs,0
00178499,familiarity with programs,1
00178502,familiarity with programs,1
00178505,familiarity with programs,1
00178512,familiarity with programs,0
00178519,familiarity with programs,2
00178523,familiarity with programs,2
00178540,familiarity with programs,4
00178551,familiarity with programs,4
00178563,familiarity with programs,1
00178577,familiarity with programs,2
00178582,familiarity with programs,4
00178597,familiarity with programs,3
00178598,familiarity with programs,2
00178600,familiarity with programs,0
00178618,familiarity with programs,2
00178622,familiarity with programs,1
00178627,familiarity with programs,3
00178639,familiarity with programs,0
00178662,familiarity with programs,1
00178667,familiarity with programs,3
00178689,familiarity with programs,3
00178692,familiarity with programs,4
00178715,familiarity with programs,2
00178722,familiarity with programs,2
00178726,familiarity with programs,3
00178742,familiarity with programs,3
00178772,familiarity with programs,2
00178783,familiarity with programs,2
00178789,familiarity with programs,0
00178796,familiarity with programs,4
00178826,familiarity with programs,2
00178831,familiarity with programs,4
00178836,familiarity with programs,0
00178865,familiarity with programs,2
00178877,familiarity with programs,4
00178884,familiarity with programs,4
00178919,familiarity with programs,0
00178949,familiarity with programs,2
00178956,familiarity with programs,2
00178966,familiarity with programs,0
00178968,familiarity with programs,1
00178969,familiarity with programs,4
00178970,familiarity with programs,3
00178971,familiarity with programs,3
00178976,familiarity with programs,2
00178981,familiarity with programs,4
00178985,familiarity with programs,1
00179008,familiarity with programs,2
00179014,familiarity with programs,1
00179021,familiarity with programs,2
00179022,familiarity with programs,2
00179023,familiarity with programs,0
00179025,familiarity with programs,3
00179028,familiarity with programs,4
00179039,familiarity with programs,2
00179055,familiarity with programs,2
00179060,familiarity with programs,3
00179086,familiarity with programs,4
00179088,familiarity with programs,1
00179111,familiarity with programs,3
00179130,familiarity with programs,1
00179143,familiarity with programs,2
00179150,familiarity with programs,0
00179176,familiarity with programs,1
00179191,familiarity with programs,2
00179196,familiarity with programs,1
00179198,familiarity with programs,1
00179225,familiarity with programs,3
00179231,familiarity with programs,3
00179235,familiarity with programs,4
00179247,familiarity with programs,3
00179249,familiarity with programs,1
00179252,familiarity with programs,4
00179257,familiarity with programs,1
00179262,familiarity with programs,2
00179275,familiarity with programs,4
00179276,familiarity with programs,2
00179293,familiarity with programs,3
00179309,familiarity with programs,3
00179323,familiarity with programs,0
00179324,familiarity with programs,3
00179330,familiarity with programs,2
00179339,familiarity with programs,2
00179358,familiarity with programs,1
00179359,familiarity with programs,4
00179376,familiarity with programs,1
00179377,familiarity with programs,4
00179388,familiarity with programs,4
00179391,familiarity with programs,2
00179423,familiarity with programs,2
00179427,familiarity with programs,4
00179439,familiarity with programs,3
00179444,familiarity with programs,0
00179454,familiarity with programs,1
00179457,familiarity with programs,2
00179459,familiarity with programs,4
00179463,familiarity with programs,0
00179472,familiarity with programs,3
00179486,familiarity with programs,0
00179498,familiarity with programs,4
00179555,familiarity with programs,3
00179563,familiarity with programs,0
00179568,familiarity with programs,3
00179599,familiarity with programs,0
00179606,familiarity with programs,1
00179609,familiarity with programs,2
00179610,familiarity with programs,1
00179616,familiarity with programs,3
00179626,familiarity with programs,2
00179629,familiarity with programs,3
00179644,familiarity with programs,3
00179653,familiarity with programs,3
00179655,familiarity with programs,4
00179673,familiarity with programs,4
00179683,familiarity with programs,2
00179695,familiarity with programs,4
00179697,familiarity with programs,4
00179716,familiarity with programs,1
00179718,familiarity with programs,4
00179735,familiarity with programs,4
00179745,familiarity with programs,3
00179750,familiarity with programs,4
00179751,familiarity with programs,2
00179776,familiarity with programs,4
00179794,familiarity with programs,1
00179821,familiarity with programs,2
00179831,familiarity with programs,1
00179863,familiarity with programs,3
00179869,familiarity with programs,3
00179876,familiarity with programs,3
00179880,familiarity with programs,3
00179922,familiarity with programs,1
00179923,familiarity with programs,3
00179925,familiarity with programs,0
00179928,familiarity with programs,1
00179936,familiarity with programs,3
00179944,familiarity with programs,2
00179946,familiarity with programs,1
00179998,familiarity with programs,2
00180005,familiarity with programs,2
00180011,familiarity with programs,4
00180037,familiarity with programs,4
00180042,familiarity with programs,0
00180050,familiarity with programs,4
00180055,familiarity with programs,4
00180056,familiarity with programs,2
00180074,familiarity with programs,1
00180097,familiarity with programs,1
00180124,familiarity with programs,4
00180127,familiarity with programs,1
00180135,familiarity with programs,1
00180139,familiarity with programs,4
00180141,familiarity with programs,4
00180147,familiarity with programs,2
00180175,familiarity with programs,2
00180182,familiarity with programs,1
00180184,familiarity with programs,0
00180193,familiarity with programs,4
00180246,familiarity with programs,0
00180252,familiarity with programs,4
00180258,familiarity with programs,3
00180262,familiarity with programs,4
00180263,familiarity with programs,1
00180272,familiarity with programs,2
00180280,familiarity with programs,3
00180289,familiarity with programs,4
00180292,familiarity with programs,1
00180294,familiarity with programs,4
00180305,familiarity with programs,3
00180311,familiarity with programs,4
00180321,familiarity with programs,2
00180342,familiarity with programs,1
00180351,familiarity with programs,4
00180383,familiarity with programs,1
00180399,familiarity with programs,3
00180408,familiarity with programs,4
00180409,familiarity with programs,2
00180428,familiarity with programs,3
00180435,familiarity with programs,1
00180445,familiarity with programs,0
00180449,familiarity with programs,0
00180453,familiarity with programs,3
00180460,familiarity with programs,0
00180463,familiarity with programs,0
00180501,familiarity with programs,2
00180502,familiarity with programs,4
00180505,familiarity with programs,4
00180510,familiarity with programs,3
00180512,familiarity with programs,2
00180514,familiarity with programs,4
00180537,familiarity with programs,4
00180585,familiarity with programs,0
00180591,familiarity with programs,3
00180600,familiarity with programs,0
00180604,familiarity with programs,2
00180606,familiarity with programs,3
00180610,familiarity with programs,2
00180616,familiarity with programs,3
00180617,familiarity with programs,0
00180633,familiarity with programs,0
00180654,familiarity with programs,2
00180659,familiarity with programs,0
00180660,familiarity with programs,3
00180662,familiarity with programs,1
00180693,familiarity with programs,1
00180732,familiarity with programs,3
00180734,familiarity with programs,1
00180745,familiarity with programs,3
00180749,familiarity with programs,4
00180752,familiarity with programs,1
00180757,familiarity with programs,4
00180786,familiarity with programs,2
00180787,familiarity with programs,1
00180805,familiarity with programs,4
00180814,familiarity with programs,0
00180817,familiarity with programs,2
00180825,familiarity with programs,2
00180833,familiarity with programs,2
00180837,familiarity with programs,4
00180873,familiarity with programs,3
00180876,familiarity with programs,0
00180890,familiarity with programs,3
00180892,familiarity with programs,1
00180899,familiarity with programs,2
00180936,familiarity with programs,2
00180938,familiarity with programs,3
00180946,familiarity with programs,4
00180948,familiarity with programs,2
00180950,familiarity with programs,3
00180991,familiarity with programs,1
00181001,familiarity with programs,1
00181007,familiarity with programs,4
00181019,familiarity with programs,3
00181029,familiarity with programs,1
